half_spread,taker_fee_rate,trades,event_groups,hit_rate,total_strategy_pnl,total_favorite_pnl,total_excess_pnl,mean_strategy_pnl,mean_excess_pnl,deployed_capital,return_on_deployed,long_yes_share,weeks,weekly_sharpe,weekly_sortino,information_ratio
0.01,0.05,329,282,0.5805471124620061,35.91753820218484,-17.431686185416147,53.349224387601,0.1091718486388597,0.16215569722675074,329.0,0.1091718486388597,0.9088145896656535,21,0.9729659559312663,2.0706647041909556,1.32663469697227
0.02,0.0,303,266,0.5874587458745875,42.77427574209363,-8.314840759803396,51.08911650189702,0.14116922687159614,0.16861094555081524,303.0,0.14116922687159614,0.9042904290429042,20,1.5163345643770558,3.7222946849627445,1.4908132481058756
0.02,0.005,303,266,0.5874587458745875,41.054005713526024,-9.780936079406334,50.83494179293237,0.13549176803143903,0.16777208512518935,303.0,0.13549176803143903,0.9042904290429042,20,1.4848308877484953,3.6449595302902984,1.490813248105876
0.02,0.01,303,266,0.5874587458745875,39.35076806147882,-11.232515603765751,50.58328366524457,0.1298705216550456,0.16694153024833192,303.0,0.1298705216550456,0.9042904290429042,20,1.453327211119933,3.5676243756178483,1.490813248105876
0.02,0.015,303,266,0.5874587458745875,37.66431107595434,-12.669793852023021,50.334104927977364,0.12430465701635095,0.16611915817814313,303.0,0.12430465701635095,0.9042904290429042,20,1.4218235344913728,3.4902892209454026,1.4908132481058753
0.02,0.02,303,266,0.5874587458745875,35.99438798244472,-14.092981137062159,50.087369119506874,0.11879335967803538,0.1653048485792306,303.0,0.11879335967803538,0.9042904290429042,20,1.3903198578628104,3.4129540662729516,1.4908132481058756
0.02,0.03,303,266,0.5874587458745875,32.703180332129726,-16.897903650294566,49.60108398242429,0.10793128822485058,0.16369994713671385,303.0,0.10793128822485058,0.9042904290429042,20,1.3273125046056884,3.258283756928057,1.4908132481058758
0.02,0.05,303,266,0.5874587458745875,26.308834040089145,-22.34746739028896,48.656301430378115,0.08682783511580576,0.16058185290553834,303.0,0.08682783511580576,0.9042904290429042,20,1.201297798091443,2.948943138238264,1.4908132481058756
0.03,0.0,286,249,0.583916083916084,36.76690156884233,-12.896372125715132,49.66327369455747,0.12855559989105708,0.1736478101208303,286.0,0.12855559989105708,0.9055944055944056,20,1.411785675089776,3.390342110563048,1.448706128821982
0.03,0.005,286,249,0.583916083916084,35.16109608840036,-14.25509664250259,49.41619273090297,0.12294089541398728,0.17278389066749292,286.0,0.12294089541398728,0.9055944055944056,20,1.3779543824819922,3.3090977276466003,1.4487061288219818
0.03,0.01,286,249,0.583916083916084,33.57118967212111,-15.600368441302129,49.17155811342324,0.11738178207035352,0.17192852487210922,286.0,0.11738178207035352,0.9055944055944056,20,1.3441230898742071,3.227853344730149,1.448706128821982
0.03,0.015,286,249,0.583916083916084,31.996947358465384,-16.9323863307538,48.92933368921919,0.11187743831631253,0.17108158632594123,286.0,0.11187743831631253,0.9055944055944056,20,1.3102917972664234,3.1466089618137008,1.4487061288219822
0.03,0.02,286,249,0.583916083916084,30.438138792982677,-18.251345221289355,48.68948401427202,0.10642705871672264,0.1702429510988532,286.0,0.10642705871672264,0.9055944055944056,20,1.2764605046586381,3.065364578897249,1.448706128821982
0.03,0.03,286,249,0.583916083916084,27.365923853244976,-20.85084672399528,48.21677057724025,0.0956850484379195,0.16859010691342743,286.0,0.0956850484379195,0.9055944055944056,20,1.2087979194430691,2.902875813064351,1.4487061288219825
0.03,0.05,286,249,0.583916083916084,21.397049113183158,-25.90130678639538,47.29835589957854,0.07481485703910196,0.16537886678174316,286.0,0.07481485703910196,0.9055944055944056,20,1.073472749011931,2.577898281398552,1.4487061288219822
